Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Buana Artha Lestari,601371
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Sabar Artha Prima,601378
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Lestari Jateng,601414
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT. BPR Sukadyarindang,601457
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT. BPR Sinar Baru Perkasa,601473
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT. BPR Usaha Madani Karya Mulia,602557
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Balongpanggang Sentosa,600061
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Rajadana Menganti,600315
Provinsi Jawa Timur,Kab. Gresik,Perumda BPR Bank Gresik,600767
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Bank Bumi Sanggabuana,600832
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Intan Kita,600862
Provinsi Jawa Timur,Kab. Gresik,PT. BPR Arindomegah Abadi,601099
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Anekadana Sejahtera,601679
Provinsi Jawa Timur,Kab. Gresik,PT. BPR Delta Gresik,601702
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Kebomas,601718
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Intan Nasional,601719
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Mitra Cemawis Mandiri,601755
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Lestari Nusantara Indonesia,602753
Provinsi Jawa Timur,Kab. Sidoarjo,PT BPR Tri Harta Indah,600109
Provinsi Jawa Timur,Kab. Sidoarjo,PT BPR Bank Pasar Bhakti,600761
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Krian Nusantara,600774
Provinsi Jawa Timur,Kab. Sidoarjo,PT. BPR Kudamas Sentosa,600775
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Sriekaya,600780
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Artha Buana,600782
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Bank Benta Tesa,600798
Provinsi Jawa Timur,Kab. Sidoarjo,PT. BPR Sumber Usahawan Bersama,600800
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Taman Dhana,600802
Provinsi Jawa Timur,Kab. Sidoarjo,PT. BPR Surabaya Lestari,600805
Provinsi Jawa Timur,Kab. Sidoarjo,PT. BPR Danamas Makmur,600807
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Arta Waru Surya,600810
Provinsi Jawa Timur,Kab. Sidoarjo,PT. BPR Taman Adimakmur,600824
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Satyadhana Artha,600826
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Buana Dana Makmur,600828
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Sinardana Buana,600830
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Bandataman,600834
