Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Sulawesi Tengah,Kab. Parimo/Banggai,PT Bank Perekonomian Rakyat Syariah Khairan Inti Amanah,620188
Provinsi Sulawesi Selatan,Kab. Gowa,PT Bank Perekonomian Rakyat Syariah Gowata,620065
Provinsi Sulawesi Selatan,Kab. Takalar,PT Bank Perekonomian Rakyat Syariah Surya Sejati,620031
Provinsi Sulawesi Selatan,Kota Makassar,PT Bank Perekonomian Rakyat Syariah Indo Timur,620010
Provinsi Sulawesi Selatan,Kota Makassar,PT Bank Perekonomian Rakyat Syariah Dana Moneter,620030
Provinsi Sulawesi Selatan,Kota Makassar,PT BANK PEREKONOMIAN RAKYAT SYARIAH NIAGA MADANI,620039
Provinsi Sulawesi Selatan,Kota Makassar,PT Bank Perekonomian Rakyat Syariah Investama Mega Bakti,620077
Provinsi Sulawesi Selatan,Kota Makassar,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Fajar Nitro,620168
Provinsi Sulawesi Barat,Kab. Polewali Mandar,PT Bank Perekonomian Rakyat Syariah Nurul Ikhwan,620045
Provinsi Nusa Tenggara Barat,Kab. Lombok Tengah,PT Bank Perekonomian Rakyat Syariah Tulen Amanah,620009
Provinsi Nusa Tenggara Barat,Kota Mataram,PT. BANK PEREKONOMIAN RAKYAT SYARIAH PNM PATUH BERAMAL AMALI,620021
Provinsi Nusa Tenggara Barat,Kota Mataram,PT. BANK PEREKONOMIAN RAKYAT SYARIAH DINAR ASHRI,620104
Provinsi Bali,Kab. Badung,PT Bank Perekonomian Rakyat Syariah Fajar Sejahtera Bali,620026
Provinsi Papua,Kab. Jayapura,PT. BPRS Muamalat Yotefa,620067
Provinsi Maluku Utara,Kab. Halmahera Selatan,PT Bank Perekonomian Rakyat Syariah Saruma Sejahtera Halmahera Selatan,620182
Provinsi Maluku Utara,Kota Ternate,PT Bank Perekonomian Rakyat Syariah Bahari Berkesan,620164
Provinsi Maluku Utara,Kota Tidore Kepulauan,PT Bank Perekonomian Rakyat Syariah Bobato Lestari,620179
